chromosome,start,end,name,strand,gene
10,117688887,117710758,ENSMUST00000020408.13,-,Mdm2
10,117688887,117710758,ENSMUST00000105263.6,-,Mdm2
10,117733678,117746358,ENSMUST00000079041.5,-,Slc35e3
10,117750623,117792698,ENSMUST00000167943.6,-,Nup107
10,117750642,117792705,ENSMUST00000064848.5,-,Nup107
10,117814470,117845935,ENSMUST00000064667.7,-,Rap1b
10,118004937,118005287,ENSMUST00000193027.1,+,Gm37852
10,118141786,118168997,ENSMUST00000020437.10,+,Mdm1
10,118141786,118168997,ENSMUST00000163238.6,+,Mdm1
10,118141786,118168997,ENSMUST00000164077.6,+,Mdm1
10,118141786,118168997,ENSMUST00000169817.1,+,Mdm1
10,118204941,118210047,ENSMUST00000096691.4,+,Il22
10,118289628,118295038,ENSMUST00000163808.1,-,Iltifb
10,118441046,118445892,ENSMUST00000068592.3,+,Ifng
10,118859348,118868903,ENSMUST00000004281.8,-,Dyrk2
10,118860825,118863542,ENSMUST00000191892.1,+,4932442E05Rik
10,119092904,119103107,ENSMUST00000187551.1,+,1700064J06Rik
10,119199254,119240055,ENSMUST00000020315.11,-,Cand1
10,119413443,119426864,ENSMUST00000185238.1,+,1700025F24Rik
10,119438799,119455379,ENSMUST00000146294.1,-,Grip1os3
10,119442678,119443624,ENSMUST00000155184.1,-,Gm16321
10,119454033,120087260,ENSMUST00000147356.6,+,Grip1
10,119454313,120075597,ENSMUST00000077871.11,+,Grip1
10,119454319,120077139,ENSMUST00000041962.13,+,Grip1
10,119746062,119761699,ENSMUST00000153898.1,-,Grip1os2
10,119819388,120077139,ENSMUST00000105262.7,+,Grip1
10,119819397,120076516,ENSMUST00000147454.6,+,Grip1
10,119819511,120075597,ENSMUST00000138410.6,+,Grip1
10,119819511,120075597,ENSMUST00000144825.6,+,Grip1
10,119819514,120075517,ENSMUST00000148954.6,+,Grip1
10,119819524,120087060,ENSMUST00000144959.6,+,Grip1
10,119825203,119852390,ENSMUST00000126965.1,-,Grip1os1
10,119847174,119852277,ENSMUST00000135940.1,-,Grip1os1
10,119992719,120087261,ENSMUST00000130387.6,+,Grip1
10,119992921,120077011,ENSMUST00000105261.7,+,Grip1
10,119993069,120075793,ENSMUST00000154238.6,+,Grip1
10,120083607,120112987,ENSMUST00000020449.10,-,Helb
10,120141647,120201659,ENSMUST00000020448.9,-,Irak3
10,120141664,120202130,ENSMUST00000145665.6,-,Irak3
10,120208749,120224917,ENSMUST00000020446.9,+,Tmbim4
10,120208779,120217717,ENSMUST00000134797.6,+,Tmbim4
10,120227069,120232071,ENSMUST00000020444.13,+,Llph
10,120310277,120312812,ENSMUST00000192540.1,+,Gm38141
10,120361274,120476469,ENSMUST00000072777.12,-,Hmga2
10,120361274,120476469,ENSMUST00000159699.1,-,Hmga2
10,120364157,120384336,ENSMUST00000160091.6,+,1700006J14Rik
10,120389522,120392793,ENSMUST00000161291.1,+,9230105E05Rik
10,120447990,120448110,ENSMUST00000103249.1,-,Mir763
10,120605536,120605596,ENSMUST00000158299.1,+,Gm24298
10,120663251,120667017,ENSMUST00000194273.1,-,Gm38289
10,120731814,120732855,ENSMUST00000195670.1,+,Gm37505
10,120765773,120778886,ENSMUST00000056994.3,+,4921513I03Rik
10,120781095,120899101,ENSMUST00000092143.10,-,Msrb3
10,120783893,120871152,ENSMUST00000130950.1,-,Msrb3
10,120800676,120801794,ENSMUST00000156090.1,-,Gm15961
10,120857628,120863326,ENSMUST00000127564.1,+,Gm15910
10,120899156,120901888,ENSMUST00000145987.1,+,Gm4473
10,120923412,120979332,ENSMUST00000119944.6,-,Lemd3
10,120923851,120979332,ENSMUST00000119093.1,-,Lemd3
10,120974300,120974425,ENSMUST00000175289.1,-,Gm23632
10,121033959,121100650,ENSMUST00000020439.9,+,Wif1
10,121034023,121100645,ENSMUST00000175867.1,+,Wif1
10,121263823,121311189,ENSMUST00000064107.5,-,Tbc1d30
10,121365089,121397245,ENSMUST00000040344.6,+,Gns
10,121410349,121476250,ENSMUST00000026902.7,-,Rassf3
10,121546454,121586794,ENSMUST00000020316.2,-,Tbk1
10,121587379,121626316,ENSMUST00000039810.7,-,Xpot
10,121618467,121618543,ENSMUST00000175100.1,-,Gm24330
10,121641793,121692621,ENSMUST00000120642.6,+,D930020B18Rik
10,121739936,121752865,ENSMUST00000065600.7,+,BC048403
10,121739937,121752878,ENSMUST00000136432.1,+,BC048403
10,121780967,121782337,ENSMUST00000188932.1,+,C030027H14Rik
10,121780990,122047308,ENSMUST00000020322.10,-,Srgap1
10,121780990,122047315,ENSMUST00000081688.11,-,Srgap1
10,122078113,122097371,ENSMUST00000140299.2,-,Tmem5
10,122448498,122453453,ENSMUST00000020323.5,+,Avpr1a
10,122648338,122648435,ENSMUST00000184477.1,+,Mir6412
10,122678777,122921974,ENSMUST00000161487.6,+,Ppm1h
10,122678781,122945795,ENSMUST00000067918.10,+,Ppm1h
10,122679314,122679415,ENSMUST00000185165.1,+,Mir8104
10,122895367,122941449,ENSMUST00000162969.1,+,Ppm1h
10,122985639,122985724,ENSMUST00000083472.3,-,Mirlet7i
10,122992060,123076505,ENSMUST00000037557.7,-,Mon2
10,122992060,123076505,ENSMUST00000073792.8,-,Mon2
10,122992060,123076505,ENSMUST00000170935.6,-,Mon2
10,123113243,123196935,ENSMUST00000020334.7,-,Usp15
10,123196875,123196971,ENSMUST00000183953.1,-,Gm27920
10,123264075,123741204,ENSMUST00000050756.7,+,Fam19a2
10,123432565,123432749,ENSMUST00000122512.1,+,Gm22958
10,124455058,124455317,ENSMUST00000158994.1,+,Gm23777
10,125226463,125328963,ENSMUST00000063318.7,-,Slc16a7
10,125227493,125308816,ENSMUST00000105257.2,-,Slc16a7
10,125966218,126015359,ENSMUST00000074807.6,+,Lrig3
10,126036826,126036899,ENSMUST00000175420.1,+,Gm22183
10,126710281,126710391,ENSMUST00000184232.1,-,Mir378d
10,126840374,126840501,ENSMUST00000158925.1,-,Gm24179
10,126868429,126901371,ENSMUST00000026504.10,-,Xrcc6bp1
10,126887248,126901371,ENSMUST00000168520.1,-,Xrcc6bp1
10,126978716,126999975,ENSMUST00000105256.7,+,Ctdsp2
10,126995529,126995613,ENSMUST00000083496.1,+,Mir26a-2
10,126995612,126999975,ENSMUST00000105255.2,+,Ctdsp2
10,126998439,126998560,ENSMUST00000102105.1,+,Mir546
10,127000708,127020994,ENSMUST00000026500.10,+,Avil
10,127003134,127020778,ENSMUST00000129173.1,+,Avil
10,127011571,127030803,ENSMUST00000152054.6,-,Tsfm
10,127022331,127030840,ENSMUST00000040560.9,-,Tsfm
10,127024234,127030799,ENSMUST00000120547.1,-,Tsfm
10,127031003,127041513,ENSMUST00000116231.3,-,Mettl21b
10,127041931,127046365,ENSMUST00000006915.12,+,Mettl1
10,127041957,127045615,ENSMUST00000120542.6,+,Mettl1
10,127048249,127052969,ENSMUST00000165764.6,+,Cyp27b1
10,127055010,127060184,ENSMUST00000040307.5,-,March9
10,127063533,127067920,ENSMUST00000006911.10,+,Cdk4
10,127063602,127067002,ENSMUST00000120226.6,+,Cdk4
10,127067316,127070261,ENSMUST00000060991.4,-,Tspan31
10,127078906,127093169,ENSMUST00000039259.6,+,Agap2
10,127094258,127121160,ENSMUST00000080975.4,-,Os9
10,127094258,127121160,ENSMUST00000164259.6,-,Os9
10,127138528,127138617,ENSMUST00000158047.1,-,Gm23664
10,127165155,127172340,ENSMUST00000006914.9,+,B4galnt1
10,127172425,127180645,ENSMUST00000095270.2,-,Slc26a10
10,127182520,127189823,ENSMUST00000167353.1,-,Arhgef25
10,127182520,127190054,ENSMUST00000019611.12,-,Arhgef25
10,127190377,127195709,ENSMUST00000038217.12,-,Dtx3
10,127190377,127195709,ENSMUST00000130855.6,-,Dtx3
10,127190641,127195727,ENSMUST00000116229.1,-,Dtx3
10,127190824,127194466,ENSMUST00000137151.6,-,Dtx3
10,127195248,127202643,ENSMUST00000181578.1,+,F420014N23Rik
10,127197066,127211622,ENSMUST00000013970.7,-,Pip4k2c
10,127225695,127263363,ENSMUST00000099172.3,-,Kif5a
10,127266261,127281959,ENSMUST00000026479.9,+,Dctn2
10,127281955,127288890,ENSMUST00000026476.11,-,Mbd6
10,127281955,127289018,ENSMUST00000119078.6,-,Mbd6
10,127288513,127289681,ENSMUST00000172591.1,+,Gm20492
10,127289695,127290788,ENSMUST00000174167.1,-,Gm4189
10,127290773,127296288,ENSMUST00000026475.13,+,Ddit3
10,127296220,127311786,ENSMUST00000037290.10,-,Mars
10,127296221,127311786,ENSMUST00000171564.6,-,Mars
10,127323726,127329943,ENSMUST00000069548.5,+,Arhgap9
10,127329888,127341589,ENSMUST00000026474.3,-,Gli1
10,127349401,127351772,ENSMUST00000059718.4,-,Inhbe
10,127356327,127370544,ENSMUST00000026472.8,-,Inhbc
10,127380661,127499360,ENSMUST00000166820.6,+,R3hdm2
10,127390310,127499383,ENSMUST00000077046.10,+,R3hdm2
10,127390310,127499383,ENSMUST00000105250.7,+,R3hdm2
10,127404283,127404392,ENSMUST00000158744.1,-,Gm23819
10,127420866,127499349,ENSMUST00000064793.11,+,R3hdm2
10,127421123,127499031,ENSMUST00000170336.6,+,R3hdm2
10,127444310,127498709,ENSMUST00000164831.6,+,R3hdm2
10,127444310,127499367,ENSMUST00000105251.7,+,R3hdm2
10,127444310,127499384,ENSMUST00000105249.7,+,R3hdm2
10,127501685,127508823,ENSMUST00000160019.6,+,Stac3
10,127501716,127508815,ENSMUST00000035839.2,+,Stac3
10,127514938,127517152,ENSMUST00000035735.9,+,Ndufa4l2
10,127517122,127522444,ENSMUST00000026470.4,-,Shmt2
10,127525472,127534559,ENSMUST00000095266.2,-,Nxph4
10,127538160,127621148,ENSMUST00000049149.13,-,Lrp1
10,127589155,127620970,ENSMUST00000121829.6,-,Lrp1
10,127596547,127597870,ENSMUST00000124182.1,+,Gm16217
10,127599883,127620922,ENSMUST00000118455.1,-,Lrp1
10,127642985,127660957,ENSMUST00000092074.10,+,Stat6
10,127660917,127666710,ENSMUST00000026469.7,-,Nab2
10,127660918,127666632,ENSMUST00000099157.3,-,Nab2
10,127663838,127665484,ENSMUST00000133270.1,+,Gm16229
10,127667143,127696940,ENSMUST00000118728.6,+,Tmem194
10,127671603,127676724,ENSMUST00000155550.1,-,Gm16230
10,127677063,127695168,ENSMUST00000118612.6,+,Tmem194
10,127677065,127701049,ENSMUST00000048099.4,+,Tmem194
10,127705169,127720887,ENSMUST00000079590.5,+,Myo1a
10,127724477,127731767,ENSMUST00000179960.6,+,Tac2
10,127725391,127731767,ENSMUST00000026466.3,+,Tac2
10,127739537,127747335,ENSMUST00000054287.7,+,Zbtb39
10,127747275,127751732,ENSMUST00000079692.5,-,Gpr182
10,127759720,127768297,ENSMUST00000073639.5,+,Rdh1
10,127759786,127792694,ENSMUST00000128247.1,+,Gm28046
10,127776394,127783038,ENSMUST00000136223.1,+,Rdh9
10,127776404,127792697,ENSMUST00000052652.6,+,Rdh9
10,127801153,127815839,ENSMUST00000071646.1,+,Rdh16
10,127849927,127861176,ENSMUST00000077530.2,+,Rdh19
10,127866473,127877317,ENSMUST00000092058.3,+,BC089597
10,127884027,127888817,ENSMUST00000047199.4,-,Rdh7
10,127898517,127911761,ENSMUST00000047134.7,+,Sdr9c7
10,127953044,127953175,ENSMUST00000158062.1,-,Gm23996
10,127990940,128000678,ENSMUST00000026462.6,-,Hsd17b6
10,128015167,128029983,ENSMUST00000178041.6,+,Prim1
10,128015171,128030037,ENSMUST00000026461.7,+,Prim1
10,128035345,128048637,ENSMUST00000073868.7,+,Naca
10,128035345,128048637,ENSMUST00000092048.10,+,Naca
10,128058953,128077272,ENSMUST00000052798.12,+,Ptges3
10,128059010,128076978,ENSMUST00000084771.2,+,Ptges3
10,128083272,128090391,ENSMUST00000026459.5,+,Atp5b
10,128084142,128084216,ENSMUST00000082844.1,+,Snord59a
10,128085285,128085363,ENSMUST00000197076.1,+,mmu-mir-677
10,128085288,128085360,ENSMUST00000175504.1,+,Mir677
10,128092782,128129303,ENSMUST00000045621.8,+,Baz2a
10,128092782,128129303,ENSMUST00000170054.7,+,Baz2a
10,128129469,128176568,ENSMUST00000092033.2,-,Rbms2
10,128129469,128180297,ENSMUST00000099139.6,-,Rbms2
10,128194456,128209939,ENSMUST00000044776.11,+,Gls2
10,128209907,128211794,ENSMUST00000061995.8,-,Spryd4
10,128225837,128231812,ENSMUST00000026455.7,+,Mip
10,128230589,128232790,ENSMUST00000180407.1,-,Gm26847
10,128232064,128252941,ENSMUST00000055539.9,+,Timeless
10,128232088,128252852,ENSMUST00000105244.6,+,Timeless
10,128232133,128252941,ENSMUST00000105242.6,+,Timeless
10,128238065,128252941,ENSMUST00000105245.2,+,Timeless
10,128254130,128255901,ENSMUST00000060782.3,+,Apon
10,128267996,128270151,ENSMUST00000050901.2,+,Apof
10,128270575,128292849,ENSMUST00000085708.2,+,Stat2
10,128270575,128292849,ENSMUST00000105238.8,+,Stat2
10,128296139,128298084,ENSMUST00000026449.1,-,Il23a
10,128299418,128299524,ENSMUST00000083014.1,-,Gm23241
10,128303334,128321358,ENSMUST00000005825.6,+,Pan2
10,128322458,128327187,ENSMUST00000026446.2,+,Cnpy2
10,128337831,128362479,ENSMUST00000005826.7,+,Cs
10,128349240,128349375,ENSMUST00000158688.2,+,Gm23182
10,128363096,128370032,ENSMUST00000043211.5,-,Coq10a
10,128377118,128394006,ENSMUST00000014642.8,+,Ankrd52
10,128377830,128377899,ENSMUST00000157768.1,-,Gm26308
10,128382837,128382906,ENSMUST00000184999.1,+,Mir6914
10,128388831,128388900,ENSMUST00000198839.1,+,mmu-mir-6915
10,128391841,128395563,ENSMUST00000167226.1,-,Gm17201
10,128395933,128400466,ENSMUST00000167859.1,-,Slc39a5
10,128395933,128401224,ENSMUST00000042666.10,-,Slc39a5
10,128401394,128409728,ENSMUST00000164199.6,-,Nabp2
10,128401394,128409874,ENSMUST00000026439.12,-,Nabp2
10,128401473,128409722,ENSMUST00000166608.6,-,Nabp2
10,128402757,128402833,ENSMUST00000179358.1,+,Gm25361
10,128411615,128441438,ENSMUST00000096386.10,+,Rnf41
10,128411615,128441438,ENSMUST00000171342.1,+,Rnf41
10,128435913,128436044,ENSMUST00000157526.1,+,Gm26347
10,128458679,128458768,ENSMUST00000184718.1,+,Mir8105
10,128459235,128490173,ENSMUST00000026433.7,+,Smarcc2
10,128459235,128490173,ENSMUST00000099131.8,+,Smarcc2
10,128459235,128490173,ENSMUST00000105235.7,+,Smarcc2
10,128490859,128493875,ENSMUST00000164181.1,-,Myl6
10,128494156,128498685,ENSMUST00000026428.3,-,Myl6b
10,128499363,128504242,ENSMUST00000180477.1,+,A430046D13Rik
10,128510247,128525859,ENSMUST00000026427.6,-,Esyt1
10,128511967,128512030,ENSMUST00000184514.1,-,Mir6916
10,128522262,128525636,ENSMUST00000187855.1,+,Gm29585
10,128524570,128525657,ENSMUST00000185270.1,+,Gm29585
10,128525327,128545359,ENSMUST00000188089.1,+,Gm29585
10,128541962,128547774,ENSMUST00000040572.8,-,Zc3h10
10,128548113,128549153,ENSMUST00000177163.6,-,Rpl41
10,128548113,128549162,ENSMUST00000176683.6,-,Rpl41
10,128548113,128549305,ENSMUST00000176010.6,-,Rpl41
10,128548119,128549102,ENSMUST00000176906.1,-,Rpl41
10,128557765,128565934,ENSMUST00000026425.11,-,Pa2g4
10,128559200,128559319,ENSMUST00000197964.1,-,AC117232.1
10,128567522,128589652,ENSMUST00000082059.6,-,Erbb3
10,128584436,128584497,ENSMUST00000184111.1,-,Mir6917
10,128624529,128626506,ENSMUST00000026420.5,-,Rps26
10,128630842,128645991,ENSMUST00000133342.6,-,Ikzf4
10,128632414,128645826,ENSMUST00000065334.8,-,Ikzf4
10,128633713,128644648,ENSMUST00000119614.1,-,Ikzf4
10,128645883,128649811,ENSMUST00000180875.1,+,Gm26876
10,128669886,128673918,ENSMUST00000054764.7,-,Suox
10,128677192,128696268,ENSMUST00000000727.2,-,Rab5b
10,128697938,128705051,ENSMUST00000026415.7,-,Cdk2
10,128697938,128705051,ENSMUST00000026416.12,-,Cdk2
10,128706257,128720238,ENSMUST00000054125.8,+,Pmel
10,128720140,128744056,ENSMUST00000026414.7,-,Dgka
10,128747878,128766568,ENSMUST00000163377.7,+,Wibg
10,128748454,128766568,ENSMUST00000065210.8,+,Wibg
10,128790952,128800824,ENSMUST00000026411.6,+,Mmp19
10,128800035,128804370,ENSMUST00000051011.12,-,Tmem198b
10,128805675,128819446,ENSMUST00000026410.1,+,Dnajc14
10,128817456,128821631,ENSMUST00000026409.3,-,Ormdl2
10,128821770,128877638,ENSMUST00000105230.2,+,Sarnp
10,128882294,128891718,ENSMUST00000026408.6,-,Gdf11
10,128908918,128912816,ENSMUST00000105229.6,+,Cd63
10,128909865,128912816,ENSMUST00000026407.7,+,Cd63
10,128913592,128919297,ENSMUST00000026406.12,-,Rdh5
10,128917881,128923524,ENSMUST00000153731.6,-,Bloc1s1
10,128919913,128923524,ENSMUST00000026405.8,-,Bloc1s1
10,128919946,128924035,ENSMUST00000131271.1,-,Bloc1s1
10,128933812,128958277,ENSMUST00000099112.2,+,Itga7
10,128944904,128945004,ENSMUST00000158143.1,+,Gm25494
10,128958276,128960988,ENSMUST00000026398.3,-,Mettl7b
10,128971196,128978115,ENSMUST00000181142.1,+,9030616G12Rik
10,128989848,128990900,ENSMUST00000091996.2,+,Olfr9
10,129011221,129012265,ENSMUST00000077460.3,+,Olfr763
10,129046131,129047061,ENSMUST00000071559.2,-,Olfr765
10,129064655,129068714,ENSMUST00000204610.1,-,RP23-476C23.10
10,129078971,129080057,ENSMUST00000082131.3,-,Olfr767
10,129093033,129093972,ENSMUST00000063031.3,-,Olfr768
10,129111427,129112511,ENSMUST00000050915.4,-,Olfr769
10,129132830,129133766,ENSMUST00000062314.3,-,Olfr770
10,129132830,129138047,ENSMUST00000204250.1,-,Olfr770
10,129160028,129160982,ENSMUST00000078914.2,-,Olfr771
10,129172572,129172877,ENSMUST00000122783.1,-,Gm25807
10,129174083,129175019,ENSMUST00000169800.2,-,Olfr772
10,129186483,129187419,ENSMUST00000072976.3,-,Olfr773
10,129236286,129239089,ENSMUST00000203248.1,+,Olfr774
10,129238150,129239089,ENSMUST00000097164.2,+,Olfr774
10,129250535,129251474,ENSMUST00000097163.2,+,Olfr775
10,129260962,129261901,ENSMUST00000073704.1,+,Olfr776
10,129268385,129269321,ENSMUST00000080313.1,-,Olfr777
10,129268385,129270550,ENSMUST00000204573.1,-,Olfr777
10,129302090,129302224,ENSMUST00000104092.1,+,Gm25764
10,129311164,129312108,ENSMUST00000204762.1,+,Olfr779
10,129311508,129311898,ENSMUST00000069063.4,+,Olfr779
10,129321568,129322593,ENSMUST00000063168.2,+,Olfr780
10,129328964,129333818,ENSMUST00000204108.1,+,Olfr781
10,129332882,129333818,ENSMUST00000075613.1,+,Olfr781
10,129350564,129351509,ENSMUST00000077024.1,+,Olfr782
10,129387634,129388594,ENSMUST00000082342.2,+,Olfr784
10,129409367,129410306,ENSMUST00000204402.1,+,Olfr785
10,129427423,129437752,ENSMUST00000204529.1,+,Olfr786
10,129436813,129437752,ENSMUST00000076508.2,+,Olfr786
10,129462677,129463616,ENSMUST00000077836.2,+,Olfr787
10,129472693,129473629,ENSMUST00000056961.3,+,Olfr788
10,129487011,129487950,ENSMUST00000204641.1,+,Olfr789
10,129500812,129501882,ENSMUST00000056002.4,+,Olfr790
10,129500885,129501854,ENSMUST00000203966.1,+,Olfr790
10,129526228,129527167,ENSMUST00000057477.3,+,Olfr791
10,129540538,129541474,ENSMUST00000076575.3,+,Olfr792
10,129567661,129571619,ENSMUST00000204820.1,+,Olfr794
10,129570656,129571619,ENSMUST00000059957.3,+,Olfr794
10,129582785,129582895,ENSMUST00000103776.1,-,Gm23252
10,129607546,129608479,ENSMUST00000037071.4,-,Olfr796
10,129607546,129612095,ENSMUST00000203977.1,-,Olfr796
10,129625123,129626059,ENSMUST00000079810.2,-,Olfr798
10,129625123,129627886,ENSMUST00000204979.1,-,Olfr798
10,129647129,129648065,ENSMUST00000071126.2,+,Olfr799
10,129659807,129660743,ENSMUST00000104903.2,+,Olfr800
10,129669560,129670517,ENSMUST00000072063.2,-,Olfr801
10,129681798,129682737,ENSMUST00000074713.2,-,Olfr802
10,129681798,129686098,ENSMUST00000203785.1,-,Olfr802
10,129691112,129692039,ENSMUST00000056736.3,-,Olfr803
10,129695977,129696101,ENSMUST00000157522.1,+,Gm24717
10,129704879,129705824,ENSMUST00000077312.2,+,Olfr804
10,129722582,129723542,ENSMUST00000078876.3,-,Olfr805
10,129722582,129723791,ENSMUST00000203573.1,-,Olfr805
10,129733231,129733298,ENSMUST00000178283.1,+,Gm24485
10,129737973,129738915,ENSMUST00000095245.1,-,Olfr806
10,129737973,129741902,ENSMUST00000204624.1,-,Olfr806
10,129754488,129755485,ENSMUST00000059038.2,-,Olfr807
10,129765482,129768436,ENSMUST00000203236.1,+,Olfr808
10,129767497,129768436,ENSMUST00000060636.1,+,Olfr808
10,129775826,129776926,ENSMUST00000059891.2,+,Olfr809
10,129775870,129776857,ENSMUST00000204622.1,+,Olfr809
10,129790608,129791614,ENSMUST00000091986.3,-,Olfr810
10,129801563,129802523,ENSMUST00000076437.1,-,Olfr811
10,129842019,129843062,ENSMUST00000057775.2,-,Olfr812
10,129842019,129845997,ENSMUST00000203571.1,-,Olfr812
10,129856519,129857452,ENSMUST00000064893.2,+,Olfr813
10,129873822,129874755,ENSMUST00000081367.1,-,Olfr814
10,129901775,129902708,ENSMUST00000205013.1,-,Olfr815
10,129901775,129902726,ENSMUST00000071557.1,-,Olfr815
10,129911337,129912276,ENSMUST00000071605.1,-,Olfr816
10,129945103,129946060,ENSMUST00000074308.2,-,Olfr818
10,129965735,129966698,ENSMUST00000167974.1,-,Olfr819
10,129974604,129975567,ENSMUST00000170920.1,-,Olfr247
10,129983479,129984442,ENSMUST00000095239.2,-,Gm10310
10,130017300,130018361,ENSMUST00000059244.2,+,Olfr820
10,130030389,130034560,ENSMUST00000205181.1,+,Olfr821
10,130033627,130034560,ENSMUST00000054364.1,+,Olfr821
10,130074408,130075350,ENSMUST00000080460.2,+,Olfr822
10,130111840,130112788,ENSMUST00000081469.1,-,Olfr823
10,130126107,130127055,ENSMUST00000074161.1,-,Olfr824
10,130162263,130163422,ENSMUST00000076814.2,-,Olfr825
10,130179936,130180878,ENSMUST00000078322.2,-,Olfr826
10,130179936,130184173,ENSMUST00000203720.1,-,Olfr826
10,130210091,130211149,ENSMUST00000058123.5,-,Olfr827
10,130268152,130280240,ENSMUST00000061571.3,-,Neurod4
10,130322851,130362642,ENSMUST00000042586.8,+,Tespa1
10,130385315,130394241,ENSMUST00000094502.4,-,Vmn2r84
10,130417771,130429612,ENSMUST00000171811.2,-,Vmn2r85
10,130445706,130455894,ENSMUST00000170257.2,-,Vmn2r86
10,130471331,130497379,ENSMUST00000164227.2,-,Vmn2r87
10,130557347,130557464,ENSMUST00000179396.1,-,Gm23793
10,130592135,130592244,ENSMUST00000177557.1,-,Gm26445
11,3131849,3189056,ENSMUST00000101655.8,-,Sfi1
11,3131849,3193407,ENSMUST00000081318.11,-,Sfi1
11,3131880,3193463,ENSMUST00000066391.12,-,Sfi1
11,3131885,3189056,ENSMUST00000153425.7,-,Sfi1
11,3131886,3189052,ENSMUST00000140846.7,-,Sfi1
11,3142047,3143363,ENSMUST00000131021.1,+,Gm11399
11,3185567,3193424,ENSMUST00000118627.1,-,Sfi1
11,3193515,3194263,ENSMUST00000146218.1,-,Gm12735
11,3202391,3244581,ENSMUST00000020734.9,+,Eif4enif1
11,3202662,3244588,ENSMUST00000110049.6,+,Eif4enif1
11,3202994,3244585,ENSMUST00000179770.6,+,Eif4enif1
11,3203020,3244587,ENSMUST00000110048.6,+,Eif4enif1
11,3203629,3244586,ENSMUST00000120721.7,+,Eif4enif1
11,3249906,3266393,ENSMUST00000020741.10,-,Drg1
11,3289280,3309083,ENSMUST00000134089.6,+,Patz1
11,3289992,3295429,ENSMUST00000094471.8,+,Patz1
11,3289992,3309083,ENSMUST00000110043.6,+,Patz1
11,3290438,3309083,ENSMUST00000057089.11,+,Patz1
11,3290456,3309083,ENSMUST00000093402.10,+,Patz1
11,3305425,3331178,ENSMUST00000155332.1,-,Gm12592
11,3308995,3320722,ENSMUST00000152576.1,+,Gm11944
11,3330400,3342971,ENSMUST00000045153.9,+,Pik3ip1
11,3330807,3333964,ENSMUST00000093399.9,+,Pik3ip1
11,3344255,3356141,ENSMUST00000110029.7,-,Limk2
11,3344255,3371376,ENSMUST00000101640.8,-,Limk2
11,3344255,3371376,ENSMUST00000101642.8,-,Limk2
11,3344255,3409174,ENSMUST00000101638.3,-,Limk2
11,3353572,3354911,ENSMUST00000142322.1,-,Gm11948
11,3415981,3452363,ENSMUST00000064364.2,-,Rnf185
11,3415981,3452363,ENSMUST00000077078.10,-,Rnf185
11,3452471,3458338,ENSMUST00000146456.1,+,8430429K09Rik
11,3474284,3474401,ENSMUST00000157894.1,-,Gm24439
11,3488283,3494166,ENSMUST00000064265.11,+,Pla2g3
11,3494374,3504821,ENSMUST00000044507.10,-,Inpp5j
11,3514866,3517351,ENSMUST00000094469.4,+,Selm
11,3517522,3527937,ENSMUST00000020718.8,-,Smtn
11,3517522,3537398,ENSMUST00000110011.6,-,Smtn
11,3517522,3539239,ENSMUST00000075118.8,-,Smtn
11,3517522,3539292,ENSMUST00000020721.13,-,Smtn
11,3517522,3539292,ENSMUST00000170588.6,-,Smtn
11,3530947,3536856,ENSMUST00000123459.1,+,Gm11946
11,3534237,3534907,ENSMUST00000125275.1,+,Gm11947
11,3639784,3647526,ENSMUST00000132077.2,-,Tug1
11,3639793,3648812,ENSMUST00000144852.1,-,Tug1
11,3644775,3644952,ENSMUST00000185047.1,-,Gm27624
11,3645285,3645521,ENSMUST00000184347.1,-,Gm27517
11,3646941,3647029,ENSMUST00000183605.1,-,Gm27937
11,3647178,3647325,ENSMUST00000184580.1,-,Gm27640
11,3649493,3690370,ENSMUST00000093389.7,+,Morc2a
11,3650252,3690477,ENSMUST00000096441.3,+,Morc2a
11,3656662,3656791,ENSMUST00000157625.1,-,Gm26393
11,3703730,3722216,ENSMUST00000102950.8,-,Osbp2
11,3703730,3863903,ENSMUST00000070552.12,-,Osbp2
11,3703917,3722216,ENSMUST00000101632.3,-,Osbp2
11,3788891,3788990,ENSMUST00000157727.1,+,Gm24013
11,3886087,3895098,ENSMUST00000020712.4,-,4921536K21Rik
11,3895239,3899353,ENSMUST00000109996.6,+,Dusp18
11,3895239,3901296,ENSMUST00000055931.4,+,Dusp18
11,3907020,3914664,ENSMUST00000109995.1,-,Slc35e4
11,3907021,3914664,ENSMUST00000051207.1,-,Slc35e4
11,3917191,3931789,ENSMUST00000109992.6,-,Tcn2
11,3917191,3931804,ENSMUST00000109988.1,-,Tcn2
11,3917191,3931960,ENSMUST00000109990.6,-,Tcn2
11,3917191,3931995,ENSMUST00000020710.9,-,Tcn2
11,3917191,3932044,ENSMUST00000109989.8,-,Tcn2
11,3917191,3932078,ENSMUST00000109991.6,-,Tcn2
11,3917191,3932159,ENSMUST00000109993.7,-,Tcn2
11,3937540,3976778,ENSMUST00000042344.1,-,4930556J24Rik
11,3963974,3980004,ENSMUST00000020705.4,+,Pes1
11,3963974,3980004,ENSMUST00000109985.6,+,Pes1
11,3983635,3999326,ENSMUST00000078757.6,+,Gal3st1
11,3983712,3999315,ENSMUST00000063004.12,+,Gal3st1
11,3989932,3999308,ENSMUST00000109981.1,+,Gal3st1
11,4031782,4048024,ENSMUST00000019512.7,+,Sec14l4
11,4064840,4077736,ENSMUST00000068322.6,+,Sec14l3
